family	u	v	class	C	actual	predicted	z
TL	0	0	reducible	0.3659	0	12.55	-3.543
TL	0	1	generic	1.7298	51	59.33	-1.081
TL	0	2	generic	1.5740	57	53.98	0.411
TL	0	3	generic	1.4218	47	48.76	-0.252
TL	0	4	reducible	0.1976	0	6.78	-2.603
TL	0	5	generic	1.3281	50	45.55	0.660
TL	0	6	generic	1.1387	36	39.05	-0.489
TL	0	7	generic	1.3478	50	46.22	0.555
TL	0	8	generic	1.2773	43	43.81	-0.122
TL	0	9	generic	0.7632	31	26.17	0.943
TL	1	0	generic	1.8534	66	63.56	0.306
TL	1	1	reducible	0.2039	0	6.99	-2.644
TL	1	2	generic	1.5244	50	52.27	-0.315
TL	1	3	reducible	0.3386	0	11.61	-3.408
TL	1	4	generic	1.3526	40	46.38	-0.937
TL	1	5	generic	1.2860	36	44.10	-1.220
TL	1	6	reducible	0.1711	0	5.87	-2.422
TL	1	7	generic	1.3953	47	47.85	-0.122
TL	1	8	generic	1.2089	36	41.45	-0.847
TL	1	9	generic	1.2594	52	43.19	1.341
TL	2	0	generic	1.6783	56	57.55	-0.204
TL	2	1	generic	1.4091	51	48.31	0.386
TL	2	2	reducible	0.2504	0	8.58	-2.930
TL	2	3	generic	1.3995	44	47.99	-0.575
TL	2	4	generic	1.0547	28	36.16	-1.358
TL	2	5	generic	1.4549	49	49.88	-0.125
TL	2	6	generic	1.4710	48	50.44	-0.343
TL	2	7	generic	1.0333	37	35.43	0.264
TL	2	8	reducible	0.2665	0	9.14	-3.023
TL	2	9	generic	0.8649	30	29.66	0.063
TL	3	0	generic	1.4034	48	48.12	-0.017
TL	3	1	generic	1.3601	53	46.63	0.933
TL	3	2	generic	1.4182	50	48.62	0.197
TL	3	3	reducible	0.2208	0	7.57	-2.751
TL	3	4	generic	1.3016	48	44.62	0.505
TL	3	5	generic	1.2946	42	44.38	-0.358
TL	3	6	reducible	0.2625	0	9.00	-3.000
TL	3	7	generic	1.1886	32	40.75	-1.370
TL	3	8	generic	1.2221	38	41.90	-0.602
TL	3	9	generic	1.2555	41	43.04	-0.311
TL	4	0	generic	1.1365	38	38.96	-0.154
TL	4	1	generic	1.3675	48	46.88	0.164
TL	4	2	generic	1.3224	41	45.33	-0.643
TL	4	3	generic	1.4354	48	49.21	-0.172
TL	4	4	reducible	0.1790	0	6.14	-2.477
TL	4	5	generic	0.9977	33	34.20	-0.205
TL	4	6	generic	1.3207	46	45.27	0.108
